Entity,Year,Annual CO₂ emissions from oil
Argentina,1990,59188256
Argentina,1991,61232770
Argentina,1992,63632690
Argentina,1993,67152220
Argentina,1994,67203064
Argentina,1995,62833936
Argentina,1996,65920892
Argentina,1997,66867996
Argentina,1998,69575700
Argentina,1999,72723070
Argentina,2000,67433990
Argentina,2001,64334420
Argentina,2002,57495490
Argentina,2003,59355188
Argentina,2004,67813310
Argentina,2005,71799740
Argentina,2006,81910660
Argentina,2007,77951600
Argentina,2008,88657810
Argentina,2009,82379690
Argentina,2010,90145390
Argentina,2011,86906420
Argentina,2012,85587380
Argentina,2013,87487304
Argentina,2014,84291960
Argentina,2015,86954050
Argentina,2016,84555740
Argentina,2017,80855576
Argentina,2018,74392350
Argentina,2019,74846660
Argentina,2020,67318670
Argentina,2021,86529020
Argentina,2022,99135070
Argentina,2023,93741590
Brazil,1990,151775300
Brazil,1991,156700220
Brazil,1992,163251660
Brazil,1993,171252430
Brazil,1994,179161870
Brazil,1995,190346980
Brazil,1996,206281440
Brazil,1997,219832620
Brazil,1998,229578140
Brazil,1999,235468500
Brazil,2000,239488200
Brazil,2001,241794700
Brazil,2002,239219330
Brazil,2003,232433660
Brazil,2004,239768260
Brazil,2005,240221180
Brazil,2006,242248560
Brazil,2007,256003360
Brazil,2008,267238800
Brazil,2009,262705400
Brazil,2010,286080000
Brazil,2011,303885020
Brazil,2012,327733980
Brazil,2013,342338140
Brazil,2014,356753380
Brazil,2015,330358600
Brazil,2016,312939100
Brazil,2017,316142660
Brazil,2018,300730240
Brazil,2019,299435780
Brazil,2020,282678200
Brazil,2021,305427970
Brazil,2022,319934700
Brazil,2023,326432160
Canada,1990,212495730
Canada,1991,200272720
Canada,1992,203270420
Canada,1993,206551060
Canada,1994,211679760
Canada,1995,214360110
Canada,1996,221116080
Canada,1997,229101920
Canada,1998,232033570
Canada,1999,234959650
Canada,2000,237231460
Canada,2001,241069060
Canada,2002,242085940
Canada,2003,257945490
Canada,2004,266975250
Canada,2005,260960510
Canada,2006,259202340
Canada,2007,265861020
Canada,2008,257097440
Canada,2009,253422980
Canada,2010,257904540
Canada,2011,259433040
Canada,2012,260896580
Canada,2013,260548980
Canada,2014,253107340
Canada,2015,254033540
Canada,2016,252213980
Canada,2017,255802510
Canada,2018,261649170
Canada,2019,263306130
Canada,2020,228175490
Canada,2021,237082880
Canada,2022,246264600
Canada,2023,248852900
Colombia,1990,31113036
Colombia,1991,31997712
Colombia,1992,35650720
Colombia,1993,36037532
Colombia,1994,39560210
Colombia,1995,31792528
Colombia,1996,32576626
Colombia,1997,34797010
Colombia,1998,35357600
Colombia,1999,30392880
Colombia,2000,29328548
Colombia,2001,28542560
Colombia,2002,28724014
Colombia,2003,29645424
Colombia,2004,29526512
Colombia,2005,30938816
Colombia,2006,33972610
Colombia,2007,33019966
Colombia,2008,33441326
Colombia,2009,35734990
Colombia,2010,35698350
Colombia,2011,35340996
Colombia,2012,38913532
Colombia,2013,41509456
Colombia,2014,45217424
Colombia,2015,47419490
Colombia,2016,45462910
Colombia,2017,42874292
Colombia,2018,43139936
Colombia,2019,45581940
Colombia,2020,43229756
Colombia,2021,54465360
Colombia,2022,59463932
Colombia,2023,60090012
Ecuador,1990,13260016
Ecuador,1991,13124448
Ecuador,1992,19137524
Ecuador,1993,21119296
Ecuador,1994,10647584
Ecuador,1995,19558432
Ecuador,1996,20862816
Ecuador,1997,15253232
Ecuador,1998,19279968
Ecuador,1999,18477552
Ecuador,2000,17323942
Ecuador,2001,19646870
Ecuador,2002,21232880
Ecuador,2003,22871198
Ecuador,2004,24658720
Ecuador,2005,26006608
Ecuador,2006,24918360
Ecuador,2007,29312000
Ecuador,2008,24914642
Ecuador,2009,27975136
Ecuador,2010,30334714
Ecuador,2011,32877072
Ecuador,2012,32151600
Ecuador,2013,33961616
Ecuador,2014,37610960
Ecuador,2015,35442330
Ecuador,2016,33477966
Ecuador,2017,33386840
Ecuador,2018,33155076
Ecuador,2019,34933004
Ecuador,2020,27959984
Ecuador,2021,32668224
Ecuador,2022,35033372
Ecuador,2023,37209970
Mexico,1990,235641890
Mexico,1991,246532240
Mexico,1992,248719650
Mexico,1993,249796860
Mexico,1994,258051860
Mexico,1995,237244000
Mexico,1996,236842100
Mexico,1997,252201600
Mexico,1998,264274480
Mexico,1999,271403500
Mexico,2000,263873970
Mexico,2001,275576770
Mexico,2002,265359170
Mexico,2003,273195170
Mexico,2004,276735940
Mexico,2005,291123100
Mexico,2006,284689150
Mexico,2007,286649380
Mexico,2008,288397100
Mexico,2009,272740830
Mexico,2010,259678690
Mexico,2011,272512100
Mexico,2012,290157980
Mexico,2013,277694560
Mexico,2014,269274700
Mexico,2015,258874270
Mexico,2016,251592220
Mexico,2017,245839740
Mexico,2018,228842450
Mexico,2019,238026200
Mexico,2020,204105010
Mexico,2021,219977400
Mexico,2022,235344290
Mexico,2023,238040770
United States,1990,2178622000
United States,1991,2120971000
United States,1992,2174378800
United States,1993,2181651700
United States,1994,2227062300
United States,1995,2217903900
United States,1996,2305301200
United States,1997,2326337500
United States,1998,2370914800
United States,1999,2433460200
United States,2000,2487839500
United States,2001,2502248400
United States,2002,2495707600
United States,2003,2557331500
United States,2004,2630811400
United States,2005,2642555600
United States,2006,2609566000
United States,2007,2592442400
United States,2008,2414717000
United States,2009,2280318500
United States,2010,2300573700
United States,2011,2252414000
United States,2012,2196024600
United States,2013,2224627500
United States,2014,2247931400
United States,2015,2285675500
United States,2016,2299961000
United States,2017,2315177000
United States,2018,2366168600
United States,2019,2360999000
United States,2020,2047544400
United States,2021,2238882600
United States,2022,2258466800
United States,2023,2250856000
Venezuela,1990,67293020
Venezuela,1991,59481376
Venezuela,1992,72822000
Venezuela,1993,68225720
Venezuela,1994,62636080
Venezuela,1995,59965024
Venezuela,1996,46680764
Venezuela,1997,55503800
Venezuela,1998,67593470
Venezuela,1999,85981630
Venezuela,2000,82571900
Venezuela,2001,74811550
Venezuela,2002,101492800
Venezuela,2003,95187060
Venezuela,2004,85349220
Venezuela,2005,97271870
Venezuela,2006,100646420
Venezuela,2007,99279740
Venezuela,2008,101591730
Venezuela,2009,98875290
Venezuela,2010,132738220
Venezuela,2011,106387900
Venezuela,2012,106557920
Venezuela,2013,128254660
Venezuela,2014,106716140
Venezuela,2015,98384100
Venezuela,2016,83663780
Venezuela,2017,75469200
Venezuela,2018,52743280
Venezuela,2019,52135056
Venezuela,2020,38288800
Venezuela,2021,33280114
Venezuela,2022,40048720
Venezuela,2023,52036080
