"Entity","Code","Year","Other industry","Flaring","Cement","Gas","Oil","Coal"
"Argentina","ARG","1990","","4785184","1822000","43213216","59188256","3140048"
"Argentina","ARG","1991","","4103680.2","2196000","47283920","61232770","2938528"
"Argentina","ARG","1992","","3997424","2495000","48302510","63632690","3107072"
"Argentina","ARG","1993","","4752356","2761000","40807240","67152220","2528239"
"Argentina","ARG","1994","","1978066","3050000","42676988","67203064","3561301"
"Argentina","ARG","1995","","2886812","2621000","53193950","62833936","3740944"
"Argentina","ARG","1996","","2150744","2422000","57541548","65920892","3114315"
"Argentina","ARG","1997","","2205528","3169000","61503904","66867996","2806624"
"Argentina","ARG","1998","","1692871","3283000","61613824","69575700","3154704"
"Argentina","ARG","1999","","1883376","3290000","67619120","72723070","2788304"
"Argentina","ARG","2000","","1465784","2771000","69438250","67433990","2359677"
"Argentina","ARG","2001","","1506541","2481000","64807068","64334420","2007817"
"Argentina","ARG","2002","","1509591","1729000","62617760","57495490","1579184"
"Argentina","ARG","2003","","1297408","2280000","69068184","59355188","2480461"
"Argentina","ARG","2004","","1090624","2701000","82912660","67813310","2531824"
"Argentina","ARG","2005","","912796","3241000","81967340","71799740","3667664"
"Argentina","ARG","2006","","799053","3764000","83867190","81910660","3968029"
"Argentina","ARG","2007","","694586","3998000","87177550","77951600","3759264"
"Argentina","ARG","2008","","599396","3990000","90119740","88657810","3975440"
"Argentina","ARG","2009","","693311","3810000","87992824","82379690","3304860"
"Argentina","ARG","2010","","612448","4178000","86928400","90145390","4081696"
"Argentina","ARG","2011","","871624","4586000","92585620","86906420","4825488"
"Argentina","ARG","2012","","1130801","4184000","95381250","85587380","5078304"
"Argentina","ARG","2013","","1291296","4581000","91338100","87487304","4840051"
"Argentina","ARG","2014","","1388263","4336000","92843900","84291960","5536412"
"Argentina","ARG","2015","","1217512","4571000","93534590","86954050","5466688"
"Argentina","ARG","2016","","841232","4028999.8","96302760","84555740","4191696.2"
"Argentina","ARG","2017","","959820","4362090","96441930","80855576","4279469"
"Argentina","ARG","2018","","1358780","4368692","96123096","74392350","4356408"
"Argentina","ARG","2019","","1770641","4140926","95606460","74846660","2143396"
"Argentina","ARG","2020","","1986565","3508472","89082830","67318670","3224320"
"Argentina","ARG","2021","","2324761","4670734","93072930","86529020","4510384"
"Argentina","ARG","2022","","2195047","5062505","92908330","99135070","4779735"
"Argentina","ARG","2023","","2053813","4852745","91051420","93741590","4106394.8"
"Brazil","BRA","1990","3688000","7554000","11062000","7483989","151775300","37094716"
"Brazil","BRA","1991","3755000","7361000","11776000","7335661","156700220","42466108"
"Brazil","BRA","1992","3948000","7445000","9770000","7983260","163251660","41203076"
"Brazil","BRA","1993","4241000","7576000","10164000","8729970","171252430","42342610"
"Brazil","BRA","1994","4098000","8003999.5","10086000","8985299","179161870","43666840"
"Brazil","BRA","1995","4104000","7514000","11528000","9602722","190346980","45582308"
"Brazil","BRA","1996","4248000","7821000","13884000","10608090","206281440","46468484"
"Brazil","BRA","1997","4338000","8604000","15267000","11863316","219832620","47044056"
"Brazil","BRA","1998","4140999.8","9463000","16174999","12411119","229578140","45590740"
"Brazil","BRA","1999","4352000","10123000","16438999","14068825","235468500","46804690"
"Brazil","BRA","2000","5008000","10737000","16047001","18442374","239488200","50460430"
"Brazil","BRA","2001","4811000","11721000","15227000","23185590","241794700","49426704"
"Brazil","BRA","2002","4956000","11218000","14390000","29292858","239219330","48688816"
"Brazil","BRA","2003","5064000","11199000","13096000","30919220","232433660","51933110"
"Brazil","BRA","2004","5505000","10840000","13273000","38215092","239768260","53832656"
"Brazil","BRA","2005","5356000","13877000","14349000","39619380","240221180","50948420"
"Brazil","BRA","2006","5410000","12882000","15440000","42052556","242248560","50837876"
"Brazil","BRA","2007","5666000","13469000","17200000","43245600","256003360","54989056"
"Brazil","BRA","2008","5690000","14207000","18884000","51302692","267238800","55315500"
"Brazil","BRA","2009","5060000","18434000","19031000","40958540","262705400","43586052"
"Brazil","BRA","2010","5950000","15214000","21288000","55048824","286080000","56688188"
"Brazil","BRA","2011","6337000","14120000","22845000","53100584","303885020","62292400"
"Brazil","BRA","2012","6403000","14761000","24998000","63396560","327733980","61016470"
"Brazil","BRA","2013","6486000","16634001","26652000","74703790","342338140","65604090"
"Brazil","BRA","2014","6278000","17642000","26908000","81285730","356753380","69033896"
"Brazil","BRA","2015","6392000","17604000","25082000","80464760","330358600","69451660"
"Brazil","BRA","2016","6392000","17505000","22415000","69665670","312939100","63831220"
"Brazil","BRA","2017","6392000","17505000","20217098","70687790","316142660","67321880"
"Brazil","BRA","2018","6392000","17505000","20494046","67417080","300730240","65840736"
"Brazil","BRA","2019","6392000","17505000","21047938","67121320","299435780","61887744"
"Brazil","BRA","2020","6392000","17505000","23365980","59026100","282678200","56240810"
"Brazil","BRA","2021","6392000","17505000","24487614","75974390","305427970","68229890"
"Brazil","BRA","2022","6392000","17505000","23845098","60085370","319934700","56078412"
"Brazil","BRA","2023","6392000","17505000","24963358","56329260","326432160","54848320"
"Canada","CAN","1990","3139996","11834869","5823211","125716240","212495730","99004880"
"Canada","CAN","1991","3285876","12145431","4770787","125376570","200272720","103904740"
"Canada","CAN","1992","2989173","13050438","4804072","132661830","203270420","106720824"
"Canada","CAN","1993","2956302","13189184","4892831","137762670","206551060","98807976"
"Canada","CAN","1994","3264382","14458360","5769324","140977970","211679760","102480750"
"Canada","CAN","1995","3237851","14715748","6529322","148261220","214360110","104309410"
"Canada","CAN","1996","3244516","15910982","6185381","155033490","221116080","106238220"
"Canada","CAN","1997","3474934","16052002","6657483","153691310","229101920","113044290"
"Canada","CAN","1998","3382457","17755578","6828347","150443660","232033570","119192136"
"Canada","CAN","1999","3284115","16058254","7118443","162930240","234959650","119514904"
"Canada","CAN","2000","3385465","16036789","7232124","173423040","237231460","128952490"
"Canada","CAN","2001","2871483","15457197","6982743","165500290","241069060","126479720"
"Canada","CAN","2002","2950861","15817112","7148304","171754740","242085940","123971550"
"Canada","CAN","2003","2952412","15299588","7248136","174245250","257945490","123101500"
"Canada","CAN","2004","3100781","15790152","7519955","170262460","266975250","115514200"
"Canada","CAN","2005","3004886","15450888","7613986","169200370","260960510","116624190"
"Canada","CAN","2006","2961685","15798562","7728498","168452320","259202340","114029850"
"Canada","CAN","2007","2860345","15844965","7731020","180770420","265861020","118820930"
"Canada","CAN","2008","2709802","15094333","6988372","181200060","257097440","112679890"
"Canada","CAN","2009","2267800","14170311","5364043","174223170","253422980","93362400"
"Canada","CAN","2010","2261381","14450592","6005436","178268480","257904540","95843840"
"Canada","CAN","2011","2437389","14619051","6020141","193975940","259433040","86834820"
"Canada","CAN","2012","2545438","15489684","6532305","197213420","260896580","81543750"
"Canada","CAN","2013","2467967","16364697","5973037","204249760","260548980","79249380"
"Canada","CAN","2014","2512593","16510662","5911522","211464910","253107340","76961840"
"Canada","CAN","2015","2328010","15765916","6184772","213612450","254033540","73719400"
"Canada","CAN","2016","2283208","13819613","6114245","210439150","252213980","74001440"
"Canada","CAN","2017","2214148","14540332","6863102","216781440","255802510","73401464"
"Canada","CAN","2018","2175713","15213126","6989642","231730800","261649170","61320372"
"Canada","CAN","2019","2154366","15656901","7195056","234935410","263306130","58777120"
"Canada","CAN","2020","2055910.1","16157942","6712529","224904670","228175490","48575084"
"Canada","CAN","2021","2142637","16971154","7378741","230941660","237082880","45794536"
"Canada","CAN","2022","2161357","17494760","6751512","239740960","246264600","38198412"
"Canada","CAN","2023","2161357","17494760","6751512","237269170","248852900","36769324"
"Colombia","COL","1990","","806132","2722000","8372781","31113036","13883794"
"Colombia","COL","1991","","828064","2720000","8694672","31997712","12413632"
"Colombia","COL","1992","","923328","2889000","8364912","35650720","13666720"
"Colombia","COL","1993","","1132242","3318000","8643878","36037532","14206152"
"Colombia","COL","1994","","968605","3920000","8976800","39560210","13611760"
"Colombia","COL","1995","","1301208","3896000","8295295.5","31792528","14135712"
"Colombia","COL","1996","","859938","3730000","10233552","32576626","12512560"
"Colombia","COL","1997","","1866199","3850000","12453936","34797010","12289056"
"Colombia","COL","1998","","1916182","3815000","13021856","35357600","11688160"
"Colombia","COL","1999","","1319111","2879000","11200848","30392880","9683952"
"Colombia","COL","2000","","1307209","3241000","12487718","29328548","10226884"
"Colombia","COL","2001","","1609107","3115000","13260016","28542560","10321488"
"Colombia","COL","2002","","1559074","3105000","13246245","28724014","9266875"
"Colombia","COL","2003","","1269803","3376000","12681104","29645424","10405760"
"Colombia","COL","2004","","1048543","3442000","13348856","29526512","7280861"
"Colombia","COL","2005","","856762","4125000","14007472","30938816","10233552"
"Colombia","COL","2006","","831108","4117000","14033120","33972610","9350528"
"Colombia","COL","2007","","843935","4541000","14033120","33019966","8053471.5"
"Colombia","COL","2008","","797578","4439000","17517584","33441326","10768496"
"Colombia","COL","2009","","896843","3930000","20097040","35734990","11801744"
"Colombia","COL","2010","","1068921","4039000","21987664","35698350","13472528"
"Colombia","COL","2011","","1459831","4588000","21050702","35340996","13784637"
"Colombia","COL","2012","","1850741","5051000","22898934","38913532","11541063"
"Colombia","COL","2013","","1662423","4790000","22339408","41509456","17803376"
"Colombia","COL","2014","","1626983","5277000","23907600","45217424","18048864"
"Colombia","COL","2015","","1542764","5551158","24405904","47419490","19144400"
"Colombia","COL","2016","","1109358","5316583","22896336","45462910","19422864"
"Colombia","COL","2017","","1033548","5232950","22783724","42874292","14685938"
"Colombia","COL","2018","","1045016.06","5301467","23530208","43139936","13714352"
"Colombia","COL","2019","","1003447.06","5536724","24223650","45581940","18152164"
"Colombia","COL","2020","","733038","5041366","23950582","43229756","16776766"
"Colombia","COL","2021","","615765","5870435","21760496","54465360","11611216"
"Colombia","COL","2022","","458168","6216910","21688814","59463932","10464686"
"Colombia","COL","2023","","602775","6046494","22497774","60090012","16001608"
"Ecuador","ECU","1990","","1670784","1017724.06","509296","13260016",""
"Ecuador","ECU","1991","","1392320","1039510.94","600896","13124448",""
